auction,name,artist,year,material,dimention,es_price,fin_price,cover
羅芙奧台北2022秋季拍賣會,貓咪夫人,長井朋子,2011,油彩 畫布,61 x 50.3 cm,360000-550000,600000,https://ravenel.com//resource/cover/ArtworkCover/e9033db6-4999-4914-b7b7-2dbe1edb2a20
羅芙奧台北2022秋季拍賣會,發現外星生物2,張騰遠,2021,壓克力 畫布,100 x 100 cm,220000-420000,264000,https://ravenel.com//resource/cover/ArtworkCover/35f43c3b-6817-46ad-a095-8e6f0e217e59
羅芙奧台北2022秋季拍賣會,維納斯 #9,天野タケル,2021,壓克力 畫布,65 x 65 cm,260000-360000,0,https://ravenel.com//resource/cover/ArtworkCover/bab24d52-e61d-4281-91e7-9dab8d387a47
羅芙奧台北2022秋季拍賣會,烏龜城鎮,塗鴉先生,2018,壓克力 畫布,60.96 x 45.72 cm,320000-420000,0,https://ravenel.com//resource/cover/ArtworkCover/5f08c54b-35c9-4537-a3f5-01fb5cee0dd5
羅芙奧台北2022秋季拍賣會,兔男孩,塗鴉先生,2018,壓克力 畫布,50.8 x 50.8 cm,320000-420000,0,https://ravenel.com//resource/cover/ArtworkCover/2ef2de11-5562-4c69-8d68-aa76efdb1f1c
羅芙奧台北2022秋季拍賣會,傷心電影,塗鴉先生,2018,壓克力 畫布,46 x 61 cm,320000-420000,576000,https://ravenel.com//resource/cover/ArtworkCover/91b64100-7a8b-461d-84be-b1b4d5ab073e
羅芙奧台北2022秋季拍賣會,無題,塗鴉先生,2017,壓克力 畫布,80.5 x 40.5 cm,420000-550000,552000,https://ravenel.com//resource/cover/ArtworkCover/477da2ca-147e-4b65-8778-208becce667e
羅芙奧台北2022秋季拍賣會,藝術家-王菲,江上越,2020,油彩 畫布,73 x 91 cm,420000-550000,780000,https://ravenel.com//resource/cover/ArtworkCover/76e229d7-2637-4797-bc6e-5922f5af5f2d
羅芙奧台北2022秋季拍賣會,臉,江上越,2021,油彩 畫布,120 x 80 cm,600000-700000,720000,https://ravenel.com//resource/cover/ArtworkCover/18258980-11f1-4005-876e-102e3bf0277c
羅芙奧台北2022秋季拍賣會,無題,天野タケル,,壓克力 畫布,99 x 63 cm,550000-650000,600000,https://ravenel.com//resource/cover/ArtworkCover/9325e144-0c0c-4b8c-ba9f-27f9f28b3498
